image_id,competitor_product_id,url,source_page,publisher,match_state,retrieved_at,source_id
cimg-electrolux-blender-ebs30-0,electrolux-blender-ebs30,https://electrolux.vtexassets.com/arquivos/ids/295260-1000-1000?v=639220446515600000&width=1000&height=1000&aspect=true&format=auto,https://loja.electrolux.com.br/liquidificador-electrolux-700w-com-copo-de-vidro-tecnologia-truflow-experience-ebs30/p,Electrolux,VERIFIED_EXACT,2026-08-27,src-img-fooda-electrolux-ebs30
cimg-faber-hood-primus-plus-energy-0,faber-hood-primus-plus-energy,https://faberindia.com/cdn/shop/products/P5A8921.jpg?v=1681365456,https://faberindia.com/products/kitchen-chimney-hood-primus-plus-energy-in-hcsc-bk-60,Faber India,VERIFIED_EXACT,2026-08-27,src-img-fooda-faber-primusplusenergy
cimg-faber-hood-pluto-0,faber-hood-pluto,https://faberindia.com/cdn/shop/files/image_5_52399cc5-99d4-4d03-aa82-1e90e4e7e41b.png?v=1739180290,https://faberindia.com/products/kitchen-chimney-hood-pluto-pb-bf-bk-60,Faber India,VERIFIED_FAMILY,2026-08-27,src-img-fooda-faber-pluto
cimg-meyer-select-kadai-24cm-0,meyer-select-kadai-24cm,https://www.potsandpans.in/cdn/shop/products/24cm_86927dc6-8c80-4fa5-a9e6-7a7febf8df1d_300x300.jpg?v=1735817006,https://www.potsandpans.in/products/select-stainless-steel-kadai-24cm-induction-gas-compatible,Meyer (Pots and Pans India),VERIFIED_EXACT,2026-08-27,src-img-fooda-meyer-kadai24
cimg-vinod-platinum-triply-kadai-0,vinod-platinum-triply-kadai,https://vinodcookware.com/cdn/shop/files/VinodPlatinumTriplyStainlessSteelKadaiwithLid_InductionFriendly.jpg?v=1746014623,https://vinodcookware.com/products/vinod-platinum-triply-stainless-steel-kadai-with-lid,Vinod Cookware,VERIFIED_EXACT,2026-08-27,src-img-fooda-vinod-platinumkadai
cimg-sunflame-zenial-3b-0,sunflame-zenial-3b,https://www.sunflame.com/cdn/shop/files/GSTHBA3R7ZUYKNF8_0_32e88de4-7383-4103-8a1d-ec5f850bbb9f.jpg?v=1754392756&width=1946,https://www.sunflame.com/products/lpg-stove-gt-genial-3b,Sunflame,VERIFIED_EXACT,2026-08-27,src-img-foodb-sunflame-zenial-3b
cimg-prestige-prithvi-1burner-0,prestige-prithvi-1burner,https://shop.ttkprestige.com/media/catalog/product/5/6/5647-40000-IMG1.jpg?optimize=medium&fit=bounds&height=500&width=500,https://shop.ttkprestige.com/prestige-prithvi-stainless-steel-gas-stove-1-burner-40000.html,TTK Prestige,VERIFIED_EXACT,2026-08-27,src-img-foodb-prestige-prithvi-1burner
cimg-prestige-bliss-induction-1200w-0,prestige-bliss-induction-1200w,https://shop.ttkprestige.com/media/catalog/product/1/3/1390-41055-IMG1.jpg?optimize=medium&fit=bounds&height=500&width=500,https://shop.ttkprestige.com/prestige-induction-cooktop-bliss-1200-w.html,TTK Prestige,VERIFIED_EXACT,2026-08-27,src-img-foodb-prestige-bliss-induction-1200w
cimg-bajaj-icx200fp-induction-0,bajaj-icx200fp-induction,https://www.bajajelectricals.com/cdn/shop/files/hero_image_168bfa82-c597-43ec-bbd6-3213f0bf7864.jpg?v=1749448099&width=1500,https://www.bajajelectricals.com/collections/induction-cooktops/products/bajaj-icx-200fp-induction-stove,Bajaj Electricals,VERIFIED_EXACT,2026-08-27,src-img-foodb-bajaj-icx200fp-induction
cimg-hawkins-classic-5l-0,hawkins-classic-5l,https://rukminim2.flixcart.com/image/480/640/xif0q/shopsy-pressure-cooker/c/v/h/1-cl50-pressure-cooker-hawkins-enriched-0-original-imahd78urzz2dybn.jpeg?q=20,https://www.flipkart.com/hawkins-classic-5-l-pressure-cooker/p/itm9b36d00e8c903,Flipkart,VERIFIED_EXACT,2026-08-27,src-img-foodb-hawkins-classic-5l
